,sellprice,symbol,selltime,qty,sl,strike,tp,buyprice,buytime,reason,pnl
26,350.6,BANKNIFTY07JAN2131300PE,2021-01-01 10:13:00,25,343.588,31300,361.11800000000005,354.1,2021-01-01 10:15:00,Time Up,-87.5
27,410.45,BANKNIFTY07JAN2131300CE,2021-01-01 10:13:00,25,418.659,31300,398.1365,405.1,2021-01-01 10:15:00,Time Up,133.74999999999915
28,310.0,BANKNIFTY07JAN2131500CE,2021-01-04 09:15:00,25,316.2,31500,300.7,316.2,2021-01-04 09:16:00,SL HIT,-154.99999999999972
29,390.0,BANKNIFTY07JAN2131500PE,2021-01-04 09:15:00,25,382.2,31500,401.7,382.2,2021-01-04 09:16:00,SL HIT,-195.00000000000028
30,290.05,BANKNIFTY07JAN2131400PE,2021-01-04 09:17:00,25,284.249,31400,298.7515,284.249,2021-01-04 09:19:00,SL HIT,-145.0249999999997
31,365.9,BANKNIFTY07JAN2131400CE,2021-01-04 09:20:00,25,373.21799999999996,31400,354.923,354.923,2021-01-04 09:23:00,TP HIT,274.4249999999994
32,352.2,BANKNIFTY07JAN2131400CE,2021-01-04 09:24:00,25,359.24399999999997,31400,341.634,341.634,2021-01-04 09:26:00,TP HIT,264.14999999999935
33,277.1,BANKNIFTY07JAN2131400PE,2021-01-04 09:24:00,25,271.55800000000005,31400,285.413,268.78700000000003,2021-01-04 09:26:00,TP HIT,207.8249999999997
34,334.75,BANKNIFTY07JAN2131400CE,2021-01-04 09:27:00,25,341.445,31400,324.7075,341.445,2021-01-04 09:28:00,SL HIT,-167.37499999999983
35,292.8,BANKNIFTY07JAN2131400PE,2021-01-04 09:27:00,25,286.944,31400,301.584,286.944,2021-01-04 09:28:00,SL HIT,-146.39999999999986
36,304.75,BANKNIFTY07JAN2131500PE,2021-01-04 09:29:00,25,298.655,31500,313.8925,298.655,2021-01-04 09:30:00,SL HIT,-152.37500000000068
37,316.65,BANKNIFTY07JAN2131500CE,2021-01-04 09:31:00,25,322.983,31500,307.15049999999997,307.15049999999997,2021-01-04 09:33:00,TP HIT,237.4875000000003
38,294.25,BANKNIFTY07JAN2131500PE,2021-01-04 09:31:00,25,288.365,31500,303.0775,285.4225,2021-01-04 09:33:00,TP HIT,220.68749999999966
39,306.0,BANKNIFTY07JAN2131500CE,2021-01-04 09:34:00,25,312.12,31500,296.82,312.12,2021-01-04 09:35:00,SL HIT,-153.0000000000001
40,306.65,BANKNIFTY07JAN2131500PE,2021-01-04 09:34:00,25,300.517,31500,315.8495,300.517,2021-01-04 09:35:00,SL HIT,-153.32499999999953
41,308.15,BANKNIFTY07JAN2131500CE,2021-01-04 09:36:00,25,314.313,31500,298.90549999999996,314.313,2021-01-04 09:39:00,SL HIT,-154.07500000000027
42,302.2,BANKNIFTY07JAN2131500PE,2021-01-04 09:36:00,25,296.156,31500,311.26599999999996,296.156,2021-01-04 09:39:00,SL HIT,-151.09999999999957
43,265.0,BANKNIFTY07JAN2131400PE,2021-01-04 09:40:00,25,259.7,31400,272.95,259.7,2021-01-04 09:42:00,SL HIT,-132.50000000000028
44,354.65,BANKNIFTY07JAN2131400CE,2021-01-04 09:43:00,25,361.743,31400,344.0105,344.0105,2021-01-04 09:45:00,TP HIT,265.98749999999995
45,261.7,BANKNIFTY07JAN2131400PE,2021-01-04 09:43:00,25,256.466,31400,269.551,253.849,2021-01-04 09:45:00,TP HIT,196.27499999999998
46,306.9,BANKNIFTY07JAN2131500CE,2021-01-04 09:46:00,25,313.03799999999995,31500,297.693,313.03799999999995,2021-01-04 10:03:00,SL HIT,-153.44999999999942
47,297.45,BANKNIFTY07JAN2131500PE,2021-01-04 09:46:00,25,291.501,31500,306.3735,291.501,2021-01-04 10:03:00,SL HIT,-148.7250000000003
48,302.0,BANKNIFTY07JAN2131500CE,2021-01-04 10:04:00,25,308.04,31500,292.94,308.04,2021-01-04 10:05:00,SL HIT,-151.0000000000005
49,303.9,BANKNIFTY07JAN2131500PE,2021-01-04 10:04:00,25,297.822,31500,313.017,297.822,2021-01-04 10:05:00,SL HIT,-151.94999999999936
50,259.55,BANKNIFTY07JAN2131400PE,2021-01-04 10:06:00,25,254.359,31400,267.3365,254.359,2021-01-04 10:08:00,SL HIT,-129.77500000000006
51,300.1,BANKNIFTY07JAN2131500CE,2021-01-04 10:09:00,25,306.10200000000003,31500,291.09700000000004,306.10200000000003,2021-01-04 10:10:00,SL HIT,-150.05000000000024
52,299.0,BANKNIFTY07JAN2131500PE,2021-01-04 10:09:00,25,293.02,31500,307.97,293.02,2021-01-04 10:10:00,SL HIT,-149.50000000000045
53,260.55,BANKNIFTY07JAN2131400PE,2021-01-04 10:11:00,25,255.339,31400,268.36650000000003,260.7,2021-01-04 10:15:00,Time Up,-3.7499999999994316
54,341.9,BANKNIFTY07JAN2131400CE,2021-01-04 10:11:00,25,348.738,31400,331.643,342.15,2021-01-04 10:15:00,Time Up,-6.25
55,359.95,BANKNIFTY07JAN2131000CE,2021-01-05 09:15:00,25,367.149,31000,349.1515,349.1515,2021-01-05 09:16:00,TP HIT,269.96249999999975
56,229.7,BANKNIFTY07JAN2131000PE,2021-01-05 09:15:00,25,225.106,31000,236.59099999999998,222.809,2021-01-05 09:16:00,TP HIT,172.27499999999978
57,295.0,BANKNIFTY07JAN2131000PE,2021-01-05 09:17:00,25,289.1,31000,303.85,289.1,2021-01-05 09:18:00,SL HIT,-147.49999999999943
58,290.8,BANKNIFTY07JAN2131000CE,2021-01-05 09:19:00,25,296.616,31000,282.076,282.076,2021-01-05 09:21:00,TP HIT,218.09999999999974
